"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description","gender","Race","votes","IMDB","tomato","gender_num","race_num","type_num"
607931,"Movie","How to Make an American Quilt","Jocelyn Moorhouse","Winona Ryder, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Alfre Woodard, Kaelynn Craddick, Sara Craddick, Kate Capshaw, Dermot Mulroney, Adam Baldwin, Maya Angelou, Rip Torn, Joanna Going, Claire Danes, Jean Simmons, Denis Arndt, Johnathon Schaech, Samantha Mathis, Derrick O'Connor, Jared Leto","United States",2018,1995,"PG-13","116 min","Dramas, Romantic Movies","A conflicted young woman spends the summer with her grandmother, her great-aunt and their quilting circle, whose life stories captivate her.","Female","White",10402,6.3,61,1,0,1
80083594,"Movie","Marco Polo: One Hundred Eyes","Alik Sakharov","Tom Wu, Benedict Wong, Michelle Yeoh","United States",2015,2015,"TV-MA","29 min","Movies","A defiant warrior-monk arrives at Kublai Khan's court in chains and soon earns his tragic nickname in this 30-minute origin story.","Male","White",8530,7.8,NA,0,0,1
80237329,"TV Show","AJ and the Queen","","RuPaul Charles, Izzy G., Michael-Leon Wooley, Josh Segarra, Katerina Tannenbaum, Tia Carrere","United States",2020,2020,"TV-14","1 Season","TV Comedies, TV Dramas","While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway.","Male","Ethnic & White",5343,7.6,50,0,5,2
80145699,"Movie","The B-Side: Elsa Dorfman's Portrait Photography","Errol Morris","Elsa Dorfman","United States",2017,2016,"TV-MA","76 min","Documentaries","Filmmaker Errol Morris probes the life, work and studio of his pal Elsa Dorfman, a Polaroid photographer who's shot luminaries and regular folk alike.","Male","White",466,6.6,97,0,0,1
80189451,"TV Show","Inside the Mind of a Serial Killer","","","United States",2019,2015,"TV-14","1 Season","Crime TV Shows, Docuseries","Mixing dramatic re-enactments with real-life footage, this series delves into the tormented psyches of the world's most infamous serial killers.","Male","White",112,5.7,NA,0,0,2
60022255,"Movie","Balto","Simon Wells","Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins, Jack Angel, Danny Mann, Robbie Rist","United States",2018,1995,"G","78 min","Children & Family Movies, Dramas","Balto, who is half wolf and half dog, endures the taunts of disapproving humans as he guides a precious cargo of medicine through the Alaskan winter.","Male","White",38252,7.1,54,0,0,1
81018563,"Movie","My Little Pony Equestria Girls: Forgotten Friendship","Ishi Rudell","Ashleigh Ball, Andrea Libman, Rebecca Shoichet, Tabitha St. Germain, Tara Strong, Nicole Oliver","United States",2018,2018,"TV-Y7","44 min","Children & Family Movies","School yearbook editor Sunset Shimmer has suddenly been erased from the memories of her best friends and must find out how to fix this.","Male","Asian",422,7.2,NA,0,2,1
70251519,"TV Show","America's Book of Secrets","","Jonathan Adams","United States",2019,2014,"TV-14","1 Season","Docuseries","This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion.","Male","White",548,7,NA,0,0,2
81193616,"TV Show","A Year In Space","","Scott Kelly","United States",2019,2015,"TV-PG","1 Season","Docuseries, International TV Shows, Science & Nature TV","Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.","Male","White",250,7.3,NA,0,0,2
80999729,"Movie","The Last Summer","William Bindley","K.J. Apa, Maia Mitchell, Tyler Posey, Jacob Latimore, Halston Sage, Wolfgang Novogratz, Sosie Bacon, Jacob McCarthy, Mario Revolori, Gage Golightly, Audrey Grace Marshall","United States",2019,2019,"TV-14","110 min","Comedies, Romantic Movies","Teens from a Chicago high school grapple with their dreams, relationships and identities in a transformative summer before they leave for college.","Male","White",9333,5.6,17,0,0,1
1153194,"Movie","The Saint","Phillip Noyce","Val Kilmer, Elisabeth Shue, Rade Serbedzija, Valeriy Nikolaev, Henry Goodman, Alun Armstrong, Michael Byrne, Evgeniy Lazarev, Irina Apeksimova, Lev Prygunov","United States",2019,1997,"PG-13","116 min","Action & Adventure, Romantic Movies","Hired by a Russian politician to steal the formula for cold fusion, master thief Simon Templar falls for the scientist who has unlocked the secret.","Male","White",60328,6.2,30,0,0,1
